Time,Value
1/1/2017 0:00,18.45
1/1/2017 1:00,16.19
1/1/2017 2:00,15.67
1/1/2017 3:00,15.69
1/1/2017 4:00,16
1/1/2017 5:00,16.79
1/1/2017 6:00,19
1/1/2017 7:00,19.21
1/1/2017 8:00,19.12
1/1/2017 9:00,19.73
1/1/2017 10:00,20.66
1/1/2017 11:00,20.68
1/1/2017 12:00,20.35
1/1/2017 13:00,20.09
1/1/2017 14:00,19.11
1/1/2017 15:00,19.37
1/1/2017 16:00,20.09
1/1/2017 17:00,25.1
1/1/2017 18:00,26.37
1/1/2017 19:00,23.36
1/1/2017 20:00,22.88
1/1/2017 21:00,21.42
1/1/2017 22:00,20.34
1/1/2017 23:00,19.69
1/2/2017 0:00,19.01
1/2/2017 1:00,17.96
1/2/2017 2:00,17.18
1/2/2017 3:00,17.02
1/2/2017 4:00,17.92
1/2/2017 5:00,17.66
1/2/2017 6:00,20.13
1/2/2017 7:00,21.42
1/2/2017 8:00,23.58
1/2/2017 9:00,25.12
1/2/2017 10:00,23.58
1/2/2017 11:00,21.92
1/2/2017 12:00,20.82
1/2/2017 13:00,19.69
1/2/2017 14:00,18.3
1/2/2017 15:00,17.97
1/2/2017 16:00,19.37
1/2/2017 17:00,23.62
1/2/2017 18:00,23.59
1/2/2017 19:00,21.81
1/2/2017 20:00,20.76
1/2/2017 21:00,19.98
1/2/2017 22:00,19.88
1/2/2017 23:00,18.44
1/3/2017 0:00,17.45
1/3/2017 1:00,16.46
1/3/2017 2:00,16.19
1/3/2017 3:00,16.36
1/3/2017 4:00,17.02
1/3/2017 5:00,17.71
1/3/2017 6:00,19.28
1/3/2017 7:00,20.03
1/3/2017 8:00,20.17
1/3/2017 9:00,20.22
1/3/2017 10:00,19.85
1/3/2017 11:00,18.66
1/3/2017 12:00,17.14
1/3/2017 13:00,16.33
1/3/2017 14:00,16.04
1/3/2017 15:00,15.97
1/3/2017 16:00,16.98
1/3/2017 17:00,21.28
1/3/2017 18:00,21.91
1/3/2017 19:00,20.89
1/3/2017 20:00,20.25
1/3/2017 21:00,19.69
1/3/2017 22:00,18.78
1/3/2017 23:00,18.15
1/4/2017 0:00,17.02
1/4/2017 1:00,17.08
1/4/2017 2:00,17.48
1/4/2017 3:00,18
1/4/2017 4:00,19.34
1/4/2017 5:00,21.87
1/4/2017 6:00,54.23
1/4/2017 7:00,36.12
1/4/2017 8:00,24.52
1/4/2017 9:00,24.1
1/4/2017 10:00,21.93
1/4/2017 11:00,20.29
1/4/2017 12:00,19.05
1/4/2017 13:00,17.51
1/4/2017 14:00,16.45
1/4/2017 15:00,16.53
1/4/2017 16:00,17.44
1/4/2017 17:00,23.03
1/4/2017 18:00,27.37
1/4/2017 19:00,22.97
1/4/2017 20:00,22.66
1/4/2017 21:00,21.58
1/4/2017 22:00,20.4
1/4/2017 23:00,18.73
1/5/2017 0:00,15.89
1/5/2017 1:00,15.88
1/5/2017 2:00,16
1/5/2017 3:00,16.5
1/5/2017 4:00,18
1/5/2017 5:00,21.28
1/5/2017 6:00,49.19
1/5/2017 7:00,29.92
1/5/2017 8:00,23.1
1/5/2017 9:00,22.75
1/5/2017 10:00,21.52
1/5/2017 11:00,20.67
1/5/2017 12:00,19.74
1/5/2017 13:00,19.07
1/5/2017 14:00,18
1/5/2017 15:00,17.61
1/5/2017 16:00,18.47
1/5/2017 17:00,22.65
1/5/2017 18:00,22.74
1/5/2017 19:00,21.94
1/5/2017 20:00,21.01
1/5/2017 21:00,19.67
1/5/2017 22:00,18.61
1/5/2017 23:00,17.12
1/6/2017 0:00,12.59
1/6/2017 1:00,10.68
1/6/2017 2:00,10.27
1/6/2017 3:00,11.67
1/6/2017 4:00,13.68
1/6/2017 5:00,17.35
1/6/2017 6:00,23.37
1/6/2017 7:00,21.75
1/6/2017 8:00,20.47
1/6/2017 9:00,20.41
1/6/2017 10:00,20.82
1/6/2017 11:00,19.66
1/6/2017 12:00,18.64
1/6/2017 13:00,18.85
1/6/2017 14:00,18.47
1/6/2017 15:00,17.66
1/6/2017 16:00,18.42
1/6/2017 17:00,24.98
1/6/2017 18:00,24.24
1/6/2017 19:00,21.4
1/6/2017 20:00,19.97
1/6/2017 21:00,18.63
1/6/2017 22:00,16.82
1/6/2017 23:00,15.64
1/7/2017 0:00,14.43
1/7/2017 1:00,11.11
1/7/2017 2:00,10.67
1/7/2017 3:00,11
1/7/2017 4:00,12.74
1/7/2017 5:00,14.96
1/7/2017 6:00,21.42
1/7/2017 7:00,21.52
1/7/2017 8:00,19.96
1/7/2017 9:00,19.65
1/7/2017 10:00,19.83
1/7/2017 11:00,16.78
1/7/2017 12:00,16.56
1/7/2017 13:00,16.3
1/7/2017 14:00,15.64
1/7/2017 15:00,15.65
1/7/2017 16:00,16.18
1/7/2017 17:00,23.05
1/7/2017 18:00,22.19
1/7/2017 19:00,20.78
1/7/2017 20:00,19.89
1/7/2017 21:00,18.05
1/7/2017 22:00,15.91
1/7/2017 23:00,14.88
1/8/2017 0:00,15.42
1/8/2017 1:00,14.02
1/8/2017 2:00,14.01
1/8/2017 3:00,14.01
1/8/2017 4:00,15.09
1/8/2017 5:00,17.54
1/8/2017 6:00,22.8
1/8/2017 7:00,22.38
1/8/2017 8:00,21.41
1/8/2017 9:00,21.3
1/8/2017 10:00,20.64
1/8/2017 11:00,18.69
1/8/2017 12:00,17.38
1/8/2017 13:00,17.24
1/8/2017 14:00,16.56
1/8/2017 15:00,16.52
1/8/2017 16:00,17.6
1/8/2017 17:00,23.53
1/8/2017 18:00,22
1/8/2017 19:00,20.26
1/8/2017 20:00,19.67
1/8/2017 21:00,17.96
1/8/2017 22:00,17.49
1/8/2017 23:00,16.51
1/9/2017 0:00,16.17
1/9/2017 1:00,14.56
1/9/2017 2:00,14.18
1/9/2017 3:00,14.07
1/9/2017 4:00,14.24
1/9/2017 5:00,13.57
1/9/2017 6:00,17.06
1/9/2017 7:00,19.77
1/9/2017 8:00,20.3
1/9/2017 9:00,21.62
1/9/2017 10:00,22.15
1/9/2017 11:00,20.52
1/9/2017 12:00,18.21
1/9/2017 13:00,17.94
1/9/2017 14:00,17.42
1/9/2017 15:00,17.56
1/9/2017 16:00,18.91
1/9/2017 17:00,23.92
1/9/2017 18:00,23.69
1/9/2017 19:00,23.49
1/9/2017 20:00,22.17
1/9/2017 21:00,21.58
1/9/2017 22:00,20.91
1/9/2017 23:00,19.25
1/10/2017 0:00,18.29
1/10/2017 1:00,17.26
1/10/2017 2:00,17.67
1/10/2017 3:00,17.92
1/10/2017 4:00,19.53
1/10/2017 5:00,20.93
1/10/2017 6:00,23.52
1/10/2017 7:00,23.87
1/10/2017 8:00,27.6
1/10/2017 9:00,26.45
1/10/2017 10:00,23.49
1/10/2017 11:00,21.03
1/10/2017 12:00,20.39
1/10/2017 13:00,19.55
1/10/2017 14:00,18.04
1/10/2017 15:00,18.04
1/10/2017 16:00,18.59
1/10/2017 17:00,23.48
1/10/2017 18:00,22.95
1/10/2017 19:00,22.82
1/10/2017 20:00,22.48
1/10/2017 21:00,21.2
1/10/2017 22:00,19.73
1/10/2017 23:00,18.05
1/11/2017 0:00,16.7
1/11/2017 1:00,16.7
1/11/2017 2:00,16.7
1/11/2017 3:00,17.55
1/11/2017 4:00,19.5
1/11/2017 5:00,21.95
1/11/2017 6:00,54.8
1/11/2017 7:00,40.28
1/11/2017 8:00,24.03
1/11/2017 9:00,23.52
1/11/2017 10:00,22.07
1/11/2017 11:00,20.85
1/11/2017 12:00,20.12
1/11/2017 13:00,19.38
1/11/2017 14:00,18.72
1/11/2017 15:00,18.67
1/11/2017 16:00,18.56
1/11/2017 17:00,24.21
1/11/2017 18:00,26.82
1/11/2017 19:00,24.45
1/11/2017 20:00,22.88
1/11/2017 21:00,21.67
1/11/2017 22:00,19.87
1/11/2017 23:00,18.55
1/12/2017 0:00,16.47
1/12/2017 1:00,16
1/12/2017 2:00,15.66
1/12/2017 3:00,16.13
1/12/2017 4:00,17.08
1/12/2017 5:00,20.6
1/12/2017 6:00,38.07
1/12/2017 7:00,26.17
1/12/2017 8:00,22.16
1/12/2017 9:00,21.7
1/12/2017 10:00,21.38
1/12/2017 11:00,19.58
1/12/2017 12:00,18.74
1/12/2017 13:00,17.72
1/12/2017 14:00,17.17
1/12/2017 15:00,16.84
1/12/2017 16:00,16.53
1/12/2017 17:00,21.72
1/12/2017 18:00,22.27
1/12/2017 19:00,21.62
1/12/2017 20:00,20.81
1/12/2017 21:00,20
1/12/2017 22:00,18.69
1/12/2017 23:00,17.41
1/13/2017 0:00,16.32
1/13/2017 1:00,15.23
1/13/2017 2:00,14.82
1/13/2017 3:00,14.97
1/13/2017 4:00,16.63
1/13/2017 5:00,21.2
1/13/2017 6:00,32.87
1/13/2017 7:00,26.26
1/13/2017 8:00,21.65
1/13/2017 9:00,21.28
1/13/2017 10:00,20.92
1/13/2017 11:00,20.05
1/13/2017 12:00,18.83
1/13/2017 13:00,18.65
1/13/2017 14:00,17.7
1/13/2017 15:00,16.72
1/13/2017 16:00,16.71
1/13/2017 17:00,21.07
1/13/2017 18:00,21.86
1/13/2017 19:00,20.54
1/13/2017 20:00,19.33
1/13/2017 21:00,18.17
1/13/2017 22:00,17.41
1/13/2017 23:00,16.3
1/14/2017 0:00,13.45
1/14/2017 1:00,11.23
1/14/2017 2:00,11.32
1/14/2017 3:00,12.65
1/14/2017 4:00,14.12
1/14/2017 5:00,19.19
1/14/2017 6:00,25.4
1/14/2017 7:00,23.44
1/14/2017 8:00,21.06
1/14/2017 9:00,20.44
1/14/2017 10:00,20.59
1/14/2017 11:00,19.47
1/14/2017 12:00,18.4
1/14/2017 13:00,17.88
1/14/2017 14:00,17.31
1/14/2017 15:00,16.3
1/14/2017 16:00,16.27
1/14/2017 17:00,21.56
1/14/2017 18:00,21.04
1/14/2017 19:00,20.03
1/14/2017 20:00,18.3
1/14/2017 21:00,17.19
1/14/2017 22:00,16.96
1/14/2017 23:00,15.52
1/15/2017 0:00,12.64
1/15/2017 1:00,11.05
1/15/2017 2:00,11.96
1/15/2017 3:00,12.54
1/15/2017 4:00,14.51
1/15/2017 5:00,17.31
1/15/2017 6:00,26.16
1/15/2017 7:00,21.63
1/15/2017 8:00,20.55
1/15/2017 9:00,21.14
1/15/2017 10:00,22.49
1/15/2017 11:00,19.95
1/15/2017 12:00,19.4
1/15/2017 13:00,19.19
1/15/2017 14:00,18.92
1/15/2017 15:00,18.2
1/15/2017 16:00,17.76
1/15/2017 17:00,23.54
1/15/2017 18:00,24.92
1/15/2017 19:00,20.66
1/15/2017 20:00,19.31
1/15/2017 21:00,18.64
1/15/2017 22:00,17.5
1/15/2017 23:00,17.12
1/16/2017 0:00,14.82
1/16/2017 1:00,13.91
1/16/2017 2:00,13.27
1/16/2017 3:00,13.69
1/16/2017 4:00,14.32
