Time,Value
0:00:00,-0.258732738
0:00:02,-0.276729476
0:00:04,-0.300619725
0:00:06,-0.325350046
0:00:08,-0.367063195
0:00:10,-0.390463871
0:00:12,-0.39405769
0:00:14,-0.423542087
0:00:16,-0.429936291
0:00:18,-0.420733228
0:00:20,-0.441596638
0:00:22,-0.447242679
0:00:24,-0.469052068
0:00:26,-0.494367288
0:00:28,-0.535570602
0:00:30,-0.541589426
0:00:32,-0.55195683
0:00:34,-0.548788648
0:00:36,-0.537380853
0:00:38,-0.522926376
0:00:40,-0.508515167
0:00:42,-0.505834369
0:00:44,-0.485812259
0:00:46,-0.481565391
0:00:48,-0.473230782
0:00:50,-0.474112556
0:00:52,-0.474745793
0:00:54,-0.482402512
0:00:56,-0.487504342
0:00:58,-0.488738518
0:01:00,-0.487784921
0:01:02,-0.485812105
0:01:04,-0.484381017
0:01:06,-0.481959625
0:01:08,-0.4766373
0:01:10,-0.470542603
0:01:12,-0.463215319
0:01:14,-0.455151651
0:01:16,-0.448770838
0:01:18,-0.443825522
0:01:20,-0.442135029
0:01:22,-0.446107061
0:01:24,-0.459493618
0:01:26,-0.481782502
0:01:28,-0.512817659
0:01:30,-0.548189093
0:01:32,-0.586512418
0:01:34,-0.628276046
0:01:36,-0.670231306
0:01:38,-0.709969314
0:01:40,-0.747198523
0:01:42,-0.754243793
0:01:44,-0.808589974
0:01:46,-0.841038584
0:01:48,-0.862865818
0:01:50,-0.883126622
0:01:52,-0.902789153
0:01:54,-0.926148059
0:01:56,-0.952608554
0:01:58,-0.98122642
0:02:00,-0.997389232
0:02:02,-1
0:02:04,-1
0:02:06,-1
0:02:08,-1
0:02:10,-1
0:02:12,-1
0:02:14,-1
0:02:16,-1
0:02:18,-0.999887933
0:02:20,-1
0:02:22,-1.000014459
0:02:24,-0.999897468
0:02:26,-0.999914796
0:02:28,-0.999932124
0:02:30,-0.999941044
0:02:32,-0.999948221
0:02:34,-0.999955399
0:02:36,-0.999962576
0:02:38,-0.999969753
0:02:40,-0.999977033
0:02:42,-0.999979391
0:02:44,-0.999980827
0:02:46,-0.999982262
0:02:48,-0.999983697
0:02:50,-0.999985133
0:02:52,-0.999986568
0:02:54,-0.999988004
0:02:56,-0.999989439
0:02:58,-0.999990875
0:03:00,-0.99999231
0:03:02,-0.999993746
0:03:04,-0.999995181
0:03:06,-0.999996616
0:03:08,-0.999998052
0:03:10,-0.999998359
0:03:12,-0.999998565
0:03:14,-0.99999877
0:03:16,-0.999998872
0:03:18,-0.999999077
0:03:20,-0.999999282
0:03:22,-0.999999385
0:03:24,-0.999839538
0:03:26,-1
0:03:28,-1.000023074
0:03:30,-0.999849688
0:03:32,-0.999877885
0:03:34,-0.999899211
0:03:36,-0.99991172
0:03:38,-0.999989951
0:03:40,-0.999933662
0:03:42,-0.999935918
0:03:44,-0.999946889
0:03:46,-0.99996032
0:03:48,-0.999965754
0:03:50,-0.999969343
0:03:52,-0.999972829
0:03:54,-0.999976418
0:03:56,-0.999980006
0:03:58,-0.999983492
0:04:00,-0.999987081
0:04:02,-0.99999067
0:04:04,-0.999991797
0:04:06,-0.999992413
0:04:08,-0.999993028
0:04:10,-0.999993643
0:04:12,-0.999994258
0:04:14,-0.999994771
0:04:16,-0.999995386
0:04:18,-0.999996001
0:04:20,-0.999996616
0:04:22,-0.999997232
0:04:24,-0.999997847
0:04:26,-0.999998462
0:04:28,-0.999999077
0:04:30,-0.999890086
