Time,Value
1/1/2017 0:00,18.68
1/1/2017 1:00,8.46
1/1/2017 2:00,6.38
1/1/2017 3:00,8.31
1/1/2017 4:00,20.01
1/1/2017 5:00,13.67
1/1/2017 6:00,110.76
1/1/2017 7:00,10.53
1/1/2017 8:00,11.39
1/1/2017 9:00,13.4
1/1/2017 10:00,9.93
1/1/2017 11:00,10.88
1/1/2017 12:00,9.45
1/1/2017 13:00,6.14
1/1/2017 14:00,6.33
1/1/2017 15:00,5.41
1/1/2017 16:00,8.33
1/1/2017 17:00,12.61
1/1/2017 18:00,48.04
1/1/2017 19:00,81.67
1/1/2017 20:00,13.73
1/1/2017 21:00,13.38
1/1/2017 22:00,16.73
1/1/2017 23:00,28.21
1/2/2017 0:00,35.27
1/2/2017 1:00,26.92
1/2/2017 2:00,8.63
1/2/2017 3:00,12.6
1/2/2017 4:00,10.14
1/2/2017 5:00,13.73
1/2/2017 6:00,15.04
1/2/2017 7:00,11.5
1/2/2017 8:00,84.61
1/2/2017 9:00,10.45
1/2/2017 10:00,7.68
1/2/2017 11:00,58.14
1/2/2017 12:00,11
1/2/2017 13:00,7.97
1/2/2017 14:00,9.07
1/2/2017 15:00,7.48
1/2/2017 16:00,10.61
1/2/2017 17:00,9.79
1/2/2017 18:00,12.42
1/2/2017 19:00,7.55
1/2/2017 20:00,27.15
1/2/2017 21:00,72.19
1/2/2017 22:00,16.69
1/2/2017 23:00,43.18
1/3/2017 0:00,7.36
1/3/2017 1:00,8.06
1/3/2017 2:00,8.75
1/3/2017 3:00,9.44
1/3/2017 4:00,7.96
1/3/2017 5:00,9.25
1/3/2017 6:00,26.16
1/3/2017 7:00,5.79
1/3/2017 8:00,0.22
1/3/2017 9:00,0.45
1/3/2017 10:00,10.01
1/3/2017 11:00,7.04
1/3/2017 12:00,12.75
1/3/2017 13:00,7.35
1/3/2017 14:00,6.99
1/3/2017 15:00,7.55
1/3/2017 16:00,12.22
1/3/2017 17:00,10.5
1/3/2017 18:00,3.73
1/3/2017 19:00,1.85
1/3/2017 20:00,9.39
1/3/2017 21:00,41.23
1/3/2017 22:00,10.88
